Country,Region,City,Mall,Division,Brand,Store Name,Oracle Ccid,Type,Store Status,Store Type,Opening Date,Trading Days,Size (sqm),FS - new
KSA,Central,Riyadh,"Hayat Mall, Riyadh",Wellness,NYX,"Hayat Mall, Riyadh",RB2-S934-NYX,Standalone,LFL,Mall Location,3/8/2018,147,90,Abu Shahid
KSA,Central,Riyadh,Atyaf Mall,Wellness,Bath and Body Works,Atyaf Mall,RB2-S779-BAT,Standalone,LFL,Mall Location,9/26/2019,147,100,Antony
KSA,Central,Riyadh,Qasr Mall,Wellness,NYX,Qasr Mall,RB2-S359-NYX,Standalone,LFL,Mall Location,2/1/2018,147,107,Abu Shahid
KSA,Central,Riyadh,Stand Alone,Starbucks,Starbucks,"Jarir Khurais, Riyadh",RB2-2660-STA,Standalone,LFL,Plaza,2/24/2009,147,133,Antony
KSA,Central,Riyadh,Stand Alone,Apparel,Foot Locker,Dughaither Building,RB2-S863-FOO,Standalone,LFL,Plaza,3/18/2017,147,236,Abu Shahid
KSA,Central,Onaizah,Stand Alone,Starbucks,Starbucks,"Tamimi Onaizah -DT, Onaizah",RB2-S892-STA,Standalone,LFL,Drive-Thru,9/14/2018,147,200,Antony
KSA,Central,Riyadh,Stand Alone,Starbucks,Starbucks,Ebdaa Tower,RB2-S941-STA,Standalone,LFL,High Street,7/29/2018,147,190,Abu Shahid
KSA,Central,Riyadh,Stand Alone,Starbucks,Starbucks,"ITCC RD 01, Riyadh",RB2-S905-STA,Standalone,LFL,Others,9/30/2018,147,10,Antony
KSA,Central,Riyadh,"Othaim Mall, Rabwa",Apparel,Milano,"Othaim Mall, Rabwa",RB2-2255-MIL,Standalone,LFL,Mall Location,10/31/2009,147,95,Antony
KSA,Central,Riyadh,Wadi Square Riyadh,Hospitality,Pinkberry,"Wadi Square, Riyadh",RB2-S746-PIN,Standalone,LFL,Plaza,8/27/2016,147,90,Abdul Rahman
KSA,Central,Riyadh,"Othaim Mall, Rabwa",Apparel,Next,"Othaim Mall, Rabwa",RB2-S814-NEX,Standalone,LFL,Mall Location,3/11/2017,147,350,Antony
KSA,Central,Riyadh,"Riyadh Park,Riyadh",Wellness,Jo Malone,The Riyadh Park,RB2-S957-JOM,Standalone,LFL,Mall Location,8/27/2018,147,60,Antony
KSA,Central,Riyadh,Stand Alone,Starbucks,Starbucks,"Fraser Suites Hotel, Riyadh",RB2-H103-STA,Standalone,LFL,Others,12/19/2019,147,206,Abu Shahid
KSA,Central,Riyadh,"Riyadh Park,Riyadh",Wellness,Le Labo,The Riyadh Park,RB2-S956-LEL,Standalone,LFL,Mall Location,8/14/2018,147,40,Antony
KSA,Central,Riyadh,"Othaim Mall, Rabwa",Apparel,Mothercare,"Othaim Mall, Rabwa",RB2-2264-MOT,Standalone,LFL,Mall Location,10/24/2009,147,284,Antony
KSA,Central,Riyadh,Stand Alone,Starbucks,Starbucks,"Serwat Building, Riyadh",RB2-S818-STA,Standalone,LFL,Plaza,4/29/2017,147,200,Abu Shahid
KSA,Central,Hail,Othaim Mall Hail,Wellness,Bath and Body Works,"Othaim Mall, Hail",RB2-S640-BAT,Standalone,LFL,Mall Location,9/3/2016,147,128,Antony
KSA,Central,Riyadh,Hamad Mall,Starbucks,Starbucks,Hamad Mall,RB2-S836-STA,Standalone,LFL,Mall Location,10/10/2019,147,157,Antony
KSA,Central,Riyadh,"Sahara Mall, Riyadh",Apparel,Claire's,Sahara Center,RB2-H352-CLA,Standalone,LFL,Mall Location,2/4/2021,147,57,Abu Shahid
KSA,Central,Riyadh,Stand Alone,Starbucks,Starbucks,"Silver Plaza, Riyadh",RB2-2079-STA,Standalone,LFL,Plaza,12/6/2016,147,215,Abu Shahid
KSA,Central,Riyadh,Qasr Mall,Apparel,American Eagle,Qasr Mall,RB2-S935-AME,Standalone,LFL,Mall Location,8/10/2018,147,331,Abu Shahid
KSA,Central,Hail,Othaim Mall Hail,Apparel,Victoria's Secret International-BA,"Othaim Mall, Hail-BA",RB2-S651-VIF,Standalone,LFL,Mall Location,9/3/2016,147,73,Antony
KSA,Central,Riyadh,Riyadh Gallery,Wellness,MAC,"Riyadh Gallery, Riyadh",RB2-S259-MAC,Standalone,LFL,Mall Location,8/23/2011,147,73,Abu Shahid
KSA,Central,Riyadh,Stand Alone,Starbucks,Starbucks,"Irqa Plaza, Riyadh",RB2-2138-STA,Standalone,LFL,Plaza,10/24/2015,147,187,Abu Shahid
KSA,Central,Riyadh,"Sahara Mall, Riyadh",Wellness,Bath and Body Works,"Sahara Mall, Riyadh",RB2-2635-BAT,Standalone,LFL,Mall Location,7/23/2011,147,285,Abu Shahid
KSA,Central,Riyadh,Stand Alone,Starbucks,Starbucks,Business Gate Riyadh,RB2-2063-STA,Standalone,LFL,High Street,5/10/2014,147,147,Abu Shahid
KSA,Central,Riyadh,"Othaim Mall, Rabwa",Wellness,Bath and Body Works,"Othaim Mall, Rabwa",RB2-S724-BAT,Standalone,LFL,Mall Location,5/21/2016,147,177,Antony
KSA,Central,Riyadh,Stand Alone,Starbucks,Starbucks,Jarir Al Thagher Plaza,RB2-S806-STA,Standalone,LFL,Plaza,4/29/2017,147,123,Antony
KSA,Central,Riyadh,Stand Alone,Starbucks,Starbucks,"SASCO Airport Road 3 DT,Riyadh",RB2-S894-STA,Standalone,LFL,Drive-Thru,3/8/2018,147,160,Abdul Rahman
KSA,Central,Riyadh,"Kingdom Center, Riyadh",Wellness,MAC,"Kingdom Centre, Riyadh (Relocated)",RB2-2335-MAC,Standalone,LFL,Mall Location,4/4/2015,147,65,Abdul Rahman
KSA,Central,Riyadh,"Othaim Mall, Rabwa",Apparel,Victoria's Secret International-BA,"Othaim Mall, Rabwa-BA",RB2-2269-VIF,Standalone,LFL,Mall Location,11/29/2014,147,50,Antony
KSA,Central,Riyadh,Stand Alone,Starbucks,Starbucks,"Jarir Exit 7, Riyadh",RB2-2184-STA,Standalone,LFL,Plaza,6/18/2016,147,154,Antony
KSA,Central,Riyadh,Stand Alone,Starbucks,Starbucks,"Jazeera Ghadeer, Riyadh",RB2-2384-STA,Standalone,LFL,Plaza,10/28/2018,147,153,Antony
KSA,Central,Riyadh,KKIA Riyadh,Apparel,Foot Locker,"KKIA T5, Riyadh",RB2-S855-FOO,Standalone,LFL,"Others, Airport",5/28/2019,147,99,Abdul Rahman
KSA,Central,Riyadh,Wadi Square Riyadh,Starbucks,Starbucks,"Wadi Square, Riyadh",RB2-2329-STA,Standalone,LFL,Plaza,8/27/2016,147,146,Abdul Rahman
KSA,Central,Riyadh,Stand Alone,Starbucks,Starbucks,"Jarrir Hamra, Riyadh",RB2-2181-STA,Standalone,LFL,Plaza,7/30/2001,147,180,Abu Shahid
KSA,Central,Riyadh,"Riyadh Park,Riyadh",Apparel,Claire's,The Riyadh Park,RB2-S960-CLA,Standalone,LFL,Mall Location,8/16/2018,147,50,Antony
KSA,Central,Riyadh,Bustan Centre,Hospitality,Pinkberry,"Bustan Centre, Riyadh",RB2-S772-PIN,Standalone,LFL,High Street,1/28/2017,147,69,Abu Shahid
KSA,Central,Riyadh,Atyaf Mall,Starbucks,Starbucks,Atyaf Mall,RB2-S095-STA,Standalone,LFL,Mall Location,9/5/2019,147,160,Antony
KSA,Central,Riyadh,"Faisaliah Centre, Riyadh",Starbucks,Starbucks,"Faisaliah Centre, Riyadh",RB2-2445-STA,Standalone,LFL,Plaza,2/20/2016,147,138,Abdul Rahman
KSA,Central,Riyadh,"Granada Center, Riyadh",Apparel,Milano,"Granada Centre, Riyadh - 2",RB2-S239-MIL,Standalone,LFL,Mall Location,8/24/2009,147,128,Abdul Rahman
KSA,Central,Riyadh,The Landmark  Riyadh,Starbucks,Starbucks,"The Landmark, Riyadh",RB2-2430-STA,Standalone,LFL,Mall Location,12/19/2016,147,157,Abu Shahid
KSA,Central,Riyadh,Riyadh Gallery,Apparel,American Eagle,"Riyadh Gallery, Riyadh",RB2-S322-AME,Standalone,LFL,Mall Location,12/10/2011,147,628,Abu Shahid
KSA,Central,Riyadh,"Aliah Plaza, Riyadh",Starbucks,Starbucks,"Aliah Plaza, Riyadh",RB2-2077-STA,Standalone,LFL,Plaza,5/9/2015,147,194,Antony
KSA,Central,Riyadh,Stand Alone,Starbucks,Starbucks,"Jazeera Sulimanya DT, Riyadh",RB2-H105-STA,Standalone,LFL,Drive-Thru,12/23/2019,147,160,Abu Shahid
KSA,Central,Riyadh,Riyadh Gallery,Apparel,Milano,"Riyadh Gallery, Riyadh",RB2-1882-MIL,Standalone,LFL,Mall Location,2/21/2009,147,126,Abu Shahid
KSA,Central,Riyadh,Qasr Mall,Apparel,Victoria's Secret International-BA,Qasr Mall-BA,RB2-S365-VIF,Standalone,LFL,Mall Location,11/10/2012,147,81,Abu Shahid
KSA,Central,Riyadh,Stand Alone,Starbucks,Starbucks,"Al Ehssa Street, Riyadh",RB2-2015-STA,Standalone,LFL,High Street,3/31/2007,147,567,Abu Shahid
KSA,Central,Riyadh,Stand Alone,Starbucks,Starbucks,"Centro Nakheel, Riyadh",RB2-2159-STA,Standalone,LFL,Plaza,11/5/2016,147,167,Antony
KSA,Central,Riyadh,"Hayat Mall, Riyadh",Apparel,Victoria's Secret International-BA,"Hayat Mall, Riyadh-BA",RB2-2124-VIF,Standalone,LFL,Mall Location,1/1/2012,147,108,Abu Shahid
KSA,Central,Riyadh,"Sahara Mall, Riyadh",Starbucks,Starbucks,"Sahara Mall ,Riyadh -1",RB2-2095-STA,Standalone,LFL,Mall Location,11/29/2006,147,110,Abu Shahid
KSA,Central,Riyadh,"Nadah Plaza, Riyadh",Starbucks,Starbucks,Nadah Plaza  Riyadh,RB2-S461-STA,Standalone,LFL,Plaza,8/27/2013,147,162,Antony
KSA,Central,Riyadh,"Granada Center, Riyadh",Wellness,NYX,"Granada Center, Riyadh",RB2-2250-NYX,Standalone,LFL,Mall Location,12/7/2017,147,151,Abdul Rahman
KSA,Central,Riyadh,"Riyadh Park,Riyadh",Hospitality,Pinkberry,The Riyadh Park,RB2-1795-PIN,Standalone,LFL,Mall Location,8/2/2018,147,51,Antony
KSA,Central,Riyadh,Stand Alone,Starbucks,Starbucks,"Sulaiman Habib Hospital Khurais, Riyadh",RB2-2375-STA,Standalone,LFL,"Others, Hospital",11/27/2016,147,20,Antony
KSA,Central,Riyadh,"Granada Center, Riyadh",Apparel,Mothercare,"Granada Centre, Riyadh",RB2-2239-MOT,Standalone,LFL,Mall Location,9/3/2005,147,864,Abdul Rahman
KSA,Central,Riyadh,Stand Alone,Starbucks,Starbucks,"Mateen Plaza, Riyadh",RB2-2139-STA,Standalone,LFL,Plaza,2/20/2016,147,362,Antony
KSA,Central,Riyadh,"Al Khayama Mall, Riyadh",Starbucks,Starbucks,"Khayama Mall, Riyadh (New)",RB2-2467-STA,Standalone,LFL,Mall Location,3/26/2015,147,229,Antony
KSA,Central,Al Kharj,Hudaithy Mall Al Kharj,Starbucks,Starbucks,"Hudaithy Mall, Al Kharj",RB2-2694-STA,Standalone,LFL,Mall Location,2/14/2007,147,259,Abdul Rahman
KSA,Central,Riyadh,Stand Alone,Starbucks,Starbucks,"Khalid Hospital, Riyadh",RB2-2452-STA,Standalone,LFL,"Others, Hospital",12/13/2015,147,39,Abu Shahid
KSA,Central,Riyadh,Riyadh Gallery,Apparel,Next,"Riyadh Gallery, Riyadh",RB2-1879-NEX,Standalone,LFL,Mall Location,2/21/2009,147,329,Abu Shahid
KSA,Central,Riyadh,"Granada Center, Riyadh",Apparel,Victoria's Secret International-BA,"Granada Center, Riyadh-BA",RB2-2230-VIF,Standalone,LFL,Mall Location,11/16/2013,147,82,Abdul Rahman
KSA,Central,Riyadh,Qasr Mall,Hennes and Mauritz,Hennes and Mauritz,Qasr Mall,RB2-S362-HEN,Standalone,LFL,Mall Location,10/13/2012,147,1452,Abu Shahid
KSA,Central,Riyadh,Stand Alone,Starbucks,Starbucks,"Sulaiman Habib Hospital Swaidi, Riyadh",RB2-S922-STA,Standalone,LFL,"Others, Hospital",3/3/2018,147,23,Abu Shahid
