Region,City,Mall,Division,Brand,Store Name,Oracle Ccid,Code,Store Type,Store Status,Opening Date,Closure, SQM , FM  , FS  
Western,Makkah,Stand Alone,Starbucks,Starbucks,Kinana Plaza Makkah,RB2-H209-STA,H209,Plaza,LFL,19-Nov-2020,,245,Hakeem ,Jamal 
Western,Makkah,Stand Alone,Starbucks,Starbucks,"Khalidiyah DT ,Makkah",RB2-H237-STA,H237,Drive-Thru,LFL,19-Apr-2021,,200,Hakeem ,Jamal 
Western,Makkah,Diyafah Mall Makkah,Starbucks,Starbucks,"Diyafa Mall street ,Makkah",RB2-H241-STA,H241,Mall Location,LFL,25-Mar-2021,,236,Hakeem ,Jamal 
Western,Makkah,Stand Alone,Starbucks,Starbucks,"Petroly DT, Makkah",RB2-H424-STA,H424,Drive-Thru,LFL,9-May-2022,,170,Hakeem ,Jamal 
Western,Makkah,Stand Alone,Starbucks,Starbucks,"Tilal Al Nasseem, Makkah",RB2-H506-STA,H506,Shopping Mall / Center,LFL,29-Jun-2022,,185,Hakeem ,Jamal 
Western,Makkah,Makkah Mall Makkah,Starbucks,Starbucks,"Makkah Mall, Makkah",RB2-H538-STA,H538,Shopping Mall / Center,LFL,13-Sep-2022,,133,Hakeem ,Jamal 
Western,Makkah,Stand Alone,Starbucks,Starbucks,Dona Plaza-Makkah,RB2-H737-STA,H737,Residential / Commercial Bldg,LFL,31-Aug-2023,,199,Hakeem ,Jamal 
Western,Makkah,Stand Alone,Starbucks,Starbucks,Souk Alkhalel Al Jumeirah-Makkah,RB2-H755-STA,H755,Shopping Mall / Center,LFL,3-Nov-2023,,85,Hakeem ,Jamal 
Western,Makkah,Stand Alone,Starbucks,Starbucks,"Jarir Asair Road, Mecca",RB2-S332-STA,S332,Plaza,LFL,28-Jul-2012,,94,Hakeem ,Jamal 
Western,Makkah,Jabal Omar Makkah,Starbucks,Starbucks,"Jabal Omar C1, Makkah",RB2-S906-STA,S906,Mall Location,LFL,22-Mar-2018,,94,Hakeem ,Jamal 
Western,Makkah,Stand Alone,Starbucks,Starbucks,"Ascott Hotel, Makkah",RB2-S913-STA,S913,Others,LFL,15-Nov-2018,,248,Hakeem ,Jamal 
Western,Makkah,Stand Alone,Starbucks,Starbucks,Hokair Time Makkah,RB2-S921-STA,S921,Others,LFL,5-Jul-2018,,110,Hakeem ,Jamal 
Western,Makkah,Stand Alone,Starbucks,Starbucks,Saud Plaza,RB2-S944-STA,S944,Plaza,LFL,29-Nov-2018,,209,Hakeem ,Jamal 
Western,Makkah,Stand Alone,Starbucks,Starbucks,Alshaikh Mohamed St AlShawaqiyah DT  Makkah,RB2-H815-STA,H815,Drive-Thru,PTL,6-Jun-2024,,200,Hakeem ,Jamal 
Western,Najran,Stand Alone,Starbucks,Starbucks,Najran Park-Najran,RB2-H716-STA,H716,Shopping Mall / Center,LFL,20-Aug-2023,,142,Hakeem ,Sultan 
